ID,Tanggal Entry,Tanggal Exit,Ticker,Tipe,Status,Harga Entry,Target TP,Stop Loss,Harga Closing/Exit,Volume,PnL (Rp),Keterangan Sistem,Sesuai Rule?,Perform Harian (%)
AUTO-152634-AMMN,2026-08-03,-,AMMN.JK,LONG,OPEN,4240.0,5114.0,3816.0,4700.0,2300.0,1058000.0,Auto-Routed (ML: ≡ƒƒí 9.0% (Netral)),-,0.64
AUTO-152634-BREN,2026-08-03,-,BREN.JK,LONG,OPEN,3260.0,3989.0,2934.0,3310.0,3000.0,150000.0,Auto-Routed (ML: ≡ƒƒó 51.2% (Beli Sedang)),-,0.3
AUTO-012637-AMMN,2026-08-04,-,AMMN.JK,LONG,OPEN,4100.0,4937.0,3690.0,4700.0,2400.0,1440000.0,Auto-Deployed,-,0.64
AUTO-012637-BEST,2026-08-04,-,BEST.JK,LONG,CLOSED,110.0,126.0,102.0,136.0,90900.0,2363400.0,Auto-TP,-,0.74
AUTO-012637-BMHS,2026-08-04,-,BMHS.JK,LONG,OPEN,190.0,221.0,175.0,200.0,52600.0,526000.0,Auto-Deployed,-,-0.99
AUTO-012637-BREN,2026-08-04,-,BREN.JK,LONG,OPEN,3350.0,4156.0,3015.0,3310.0,2900.0,-116000.0,Auto-Deployed,-,0.3
AUTO-012637-BUDI,2026-08-04,-,BUDI.JK,LONG,OPEN,218.0,233.0,210.0,226.0,45800.0,366400.0,Auto-Deployed,-,-1.74
AUTO-012835-AMMN,2026-08-04,-,AMMN.JK,LONG,OPEN,4100.0,4937.0,3690.0,4700.0,200.0,120000.0,Auto-Deployed,Ya,0.64
AUTO-012835-BEST,2026-08-04,-,BEST.JK,LONG,CLOSED,110.0,126.0,102.0,136.0,9000.0,234000.0,Auto-TP,Ya,0.74
AUTO-012835-BMHS,2026-08-04,-,BMHS.JK,LONG,OPEN,190.0,221.0,175.0,200.0,5200.0,52000.0,Auto-Deployed,Ya,-0.99
AUTO-012835-BREN,2026-08-04,-,BREN.JK,LONG,OPEN,3350.0,4156.0,3015.0,3310.0,200.0,-8000.0,Auto-Deployed,Ya,0.3
AUTO-012835-BUDI,2026-08-04,-,BUDI.JK,LONG,OPEN,218.0,233.0,210.0,226.0,4500.0,36000.0,Auto-Deployed,Ya,-1.74
